Top pages,Clicks,Impressions,CTR,Position
https://www.local-answer.com/locations/carrollton,0,203,0%,63.42
https://www.local-answer.com/locations/mckinney,0,168,0%,66.95
https://www.local-answer.com/services/plumbing/pipe-repair,0,161,0%,4.58
https://www.local-answer.com/locations/denton,0,146,0%,57.03
https://www.local-answer.com/locations/flower-mound,0,126,0%,61.8
https://www.local-answer.com/locations/mansfield,0,119,0%,50.77
https://www.local-answer.com/locations/richardson,0,110,0%,54.31
https://www.local-answer.com/locations/rockwall,0,107,0%,60.29
https://www.local-answer.com/locations/farmers-branch,0,83,0%,68.71
https://www.local-answer.com/locations/kennedale,0,77,0%,44.16
https://www.local-answer.com/locations/rowlett,0,77,0%,79.12
https://www.local-answer.com/locations/burleson,0,60,0%,66.57
https://www.local-answer.com/locations/coppell,0,57,0%,67.68
https://www.local-answer.com/locations/little-elm,0,56,0%,48.54
https://www.local-answer.com/locations/frisco,0,52,0%,70.58
https://www.local-answer.com/locations/lancaster,0,51,0%,55.73
https://www.local-answer.com/locations/mesquite,0,43,0%,67.58
https://www.local-answer.com/locations/keller,0,35,0%,47.4
https://www.local-answer.com/locations/haslet,0,34,0%,32.53
https://www.local-answer.com/locations/arlington,0,31,0%,59.26
https://www.local-answer.com/locations/plano,0,30,0%,68.63
https://www.local-answer.com/locations/terrell,0,27,0%,28.33
https://www.local-answer.com/locations/forney,0,27,0%,35.81
https://www.local-answer.com/locations/grapevine,0,24,0%,75.75
https://www.local-answer.com/locations/allen,0,23,0%,45.74
https://www.local-answer.com/locations/garland,0,22,0%,67.86
https://www.local-answer.com/locations/colleyville,0,21,0%,32.1
https://www.local-answer.com/locations/haltom-city,0,21,0%,33.57
https://www.local-answer.com/locations/irving,0,21,0%,63
https://www.local-answer.com/locations/corinth,0,17,0%,61.47
https://www.local-answer.com/pro-tips/how-to-find-main-water-shutoff,0,17,0%,81.12
https://www.local-answer.com/locations/princeton,0,16,0%,18.06
https://www.local-answer.com/locations/murphy,0,16,0%,23.75
https://www.local-answer.com/locations/anna,0,15,0%,36.8
https://www.local-answer.com/locations/highland-village,0,15,0%,44.2
https://www.local-answer.com/locations/north-richland-hills,0,14,0%,52.64
https://www.local-answer.com/locations/celina,0,13,0%,50.77
https://www.local-answer.com/locations/university-park,0,9,0%,72.67
https://www.local-answer.com/locations/wylie,0,8,0%,65.62
https://www.local-answer.com/locations/trophy-club,0,8,0%,74.25
https://www.local-answer.com/locations/royse-city,0,6,0%,31.5
https://www.local-answer.com/locations/grand-prairie,0,6,0%,60.33
https://www.local-answer.com/locations/duncanville,0,6,0%,62.83
https://www.local-answer.com/services/electrical/generator-installation,0,5,0%,13.8
https://www.local-answer.com/locations/heath,0,5,0%,60.2
https://www.local-answer.com/locations/prosper,0,5,0%,61.4
https://www.local-answer.com/locations/argyle,0,4,0%,36.25
https://www.local-answer.com/services/cooling/ac-repair,0,3,0%,56.67
https://www.local-answer.com/locations/benbrook,0,3,0%,74.33
https://www.local-answer.com/locations/desoto,0,3,0%,77.33
https://www.local-answer.com/locations/southlake,0,3,0%,82.67
https://www.local-answer.com/locations/melissa,0,2,0%,47.5
https://www.local-answer.com/locations/lewisville,0,2,0%,53.5
https://www.local-answer.com/locations/dallas,0,2,0%,60.5
https://www.local-answer.com/locations/azle,0,2,0%,74
https://www.local-answer.com/locations/the-colony,0,2,0%,89
https://www.local-answer.com/locations/cedar-hill,0,2,0%,99.5
https://www.local-answer.com/about,0,1,0%,3
https://www.local-answer.com/services/electrical/electrical-inspection,0,1,0%,10
https://www.local-answer.com/locations/lake-worth,0,1,0%,11
https://www.local-answer.com/locations/addison,0,1,0%,14
https://www.local-answer.com/locations/aubrey,0,1,0%,14
https://www.local-answer.com/locations/lucas,0,1,0%,22
https://www.local-answer.com/locations/sachse,0,1,0%,56
