Query,Impressions,Position,Type,Action
plumber service,2,14.5,Generic high-intent,"Best position of any query. Optimize /services/plumbing to target this term explicitly in title and H1."
emergency plumber,4,16.5,Generic high-intent,"2nd best position. Add emergency plumber content section to /services/plumbing and top location pages."
need a plumber,1,17,Generic high-intent,"Position 17 — add 'Need a Plumber?' as FAQ or heading on homepage and service pages."
plumbing service,1,17,Generic high-intent,"Same position cluster. Reinforce with /services/plumbing page targeting this exact phrase."
i need a plumber,3,20,Generic high-intent,"Conversational query. Good AEO target — add answer-first paragraph addressing this question directly."
emergency plumbers,1,22,Generic high-intent,"Plural variant of emergency plumber. Will benefit from same optimizations."
plumber frisco,7,86.43,City — highest impressions,"Top query by impressions. /locations/frisco needs 'Plumber in Frisco' in title tag and H1."
plumbers lewisville texas,6,57.5,City — good position,"Position 57 is above-average for this site. Optimize /locations/lewisville title and content."
plumber in mckinney tx,6,63.33,City — highest page impressions,"McKinney page has most impressions (45). Ensure this exact phrase appears in title tag."
plumber mckinney texas,5,52,City — best mckinney position,"Position 52 is the best McKinney variant. Target this keyword format on the McKinney page."
rowlett plumber,5,58.6,City — consistent volume,"Rowlett has 30 page impressions across many query variants. Consolidate targeting."
plumber carrollton texas,5,60.6,City — mid-tier opportunity,"Carrollton page has 16 impressions. Optimize for this exact query."
heating repair farmers branch,5,75.2,HVAC — highest impressions,"Only HVAC cluster with meaningful volume. Add heating/HVAC content to /locations/farmers-branch."
furnace repair farmers branch,4,79.25,HVAC — Farmers Branch cluster,"Same page opportunity as above. Add furnace repair section."
kennedale leak detection,3,65.33,Service-specific + city,"Unique service query (not just 'plumber'). Add leak detection content to /locations/kennedale."
heating service azle,3,70,HVAC — secondary city,"Azle page should include heating/HVAC service content."
heating installation sachse tx,3,86.33,HVAC — secondary city,"Sachse page should include heating installation content."
ac repair heath tx,2,77.5,HVAC — AC specific,"Heath page should include AC repair content."
hot water heater replacement terrell tx,1,45,Service-specific — good position,"Position 45 for a long-tail service query. Add water heater content to /locations/terrell."
